fold,model,phase,stability,mean_gini,slope,residual_std,rows,auc,average_precision,brier,log_loss
1,saved_champion,selection,0.47251354626599695,0.6973919400456406,-0.002498472635492225,0.010025603712655854,182576,0.8489126107408997,0.18501703317866647,0.029546149493292997,0.1175390632768173
1,frequency,selection,0.4643101026289974,0.6966081948465654,-0.0025832865677380837,0.009937748513233249,182576,0.8485861214672181,0.18532958780379288,0.02953419654646569,0.11760624025190006
1,native,selection,0.49073942217321,0.6519261056613114,-0.001766226614803585,0.011517482770771817,182576,0.8262272250712277,0.1616938613100982,0.030155843557559216,0.12353768862491858
1,blend_native,selection,0.4988059408298676,0.6965788008199706,-0.0021869442711207887,0.010643528262947162,182576,0.848525928705675,0.186103422589479,0.029554071688082426,0.11772727721399126
1,dual,selection,0.4913900669299127,0.6521613019697671,-0.0017646780353178404,0.010959135863768881,182576,0.8263395723930316,0.1624896278477355,0.030138298012286374,0.12348372063773691
1,blend_dual,selection,0.49309017988697335,0.6969149769720507,-0.002256094874564624,0.010576896246780935,182576,0.8486836992903145,0.1863186044614891,0.02955190180615806,0.11770272758471421
2,saved_champion,selection,0.6707234242709308,0.6812759086398839,0.0014872916313427868,0.02110496873790622,194116,0.8420515523465267,0.19217876926282906,0.03241673223831405,0.12730638138995326
2,frequency,selection,0.6718363795111145,0.6824218267307471,0.001245530554257107,0.0211708944392652,194116,0.8425171097764205,0.19266774341541895,0.032412060183398955,0.12725336541141646
2,native,selection,0.6293133383256689,0.6411214693407967,0.000659425315045711,0.02361626203025556,194116,0.8217667083115617,0.16732259379431472,0.033147525091447076,0.13245629283039642
2,blend_native,selection,0.6698472347338567,0.6807164255853251,0.0012398862875371273,0.02173838170293683,194116,0.8417011868158668,0.19212365768765455,0.03240148790313944,0.12734914783974655
2,dual,selection,0.6307967726177908,0.64214685373332,0.0015046221957011482,0.022700162231058457,194116,0.8223075689928087,0.1683343747310565,0.033116685245649716,0.1323502644586028
2,blend_dual,selection,0.670168276369094,0.6809719572174854,0.0014261407171148209,0.02160736169678273,194116,0.8418330535450507,0.1923225426852552,0.03239422563533624,0.12731525117048453
3,saved_champion,selection,0.4915662227354771,0.7020513441364976,-0.0023210299231894776,0.012468976320692873,192561,0.8525893853803741,0.209091651396286,0.03236806030887553,0.1258295797841488
3,frequency,selection,0.457904861173684,0.7003754911047669,-0.0026841496841820637,0.012530915446122592,192561,0.8517470075502945,0.20810438751447732,0.03239743671019771,0.12604388847645717
3,native,selection,0.6595330608824788,0.6658037260003518,0.00013272925001804156,0.01254133023574601,192561,0.8340296199161695,0.18633881650900738,0.032992694705947505,0.1303084500141864
3,blend_native,selection,0.5531913560105118,0.7016831623346271,-0.0016181128278611044,0.012195754944676186,192561,0.8523239209021586,0.2103301404985061,0.03234162644255394,0.1258302563879018
3,dual,selection,0.6590781113891286,0.6658617716510451,-3.907900814542784e-06,0.01287952998047334,192561,0.8341415767689628,0.18735103487168228,0.03297197930764526,0.13019979718399433
3,blend_dual,selection,0.5519816047966095,0.7016335206005877,-0.001630781392712696,0.012286306490521771,192561,0.8523029688461029,0.2104978747879923,0.03233547823995913,0.12581040022836673
4,saved_champion,confirmation,0.6856799718448874,0.6990590126467491,-4.365236311320252e-05,0.01907526569579965,126970,0.850183680371473,0.254262876343701,0.03914485163426297,0.14748031388571858
4,frequency,confirmation,0.6690186008851403,0.6962299034506348,-0.00019642448872132014,0.019851895116036588,126970,0.8489644202134822,0.2502892373328482,0.039244680164132496,0.14788355467125985
4,native,confirmation,0.6475078225511788,0.6666333566910924,-9.122759619752954e-05,0.022195011349061964,126970,0.8339949722643705,0.2249549743407764,0.04003023391888325,0.152500009952917
4,blend_native,confirmation,0.6884760479457664,0.699375650628378,-1.2192467382266742e-05,0.01965333110594416,126970,0.8503330322142891,0.2550872339036658,0.03909567702629265,0.14736217720052605
5,saved_champion,confirmation,0.689011286354743,0.7143995314179659,0.00798064821687796,0.050776490126445833,30964,0.8645246436638496,0.17346534774049477,0.020161866607312055,0.0848190977737237
5,frequency,confirmation,0.6888932373430846,0.7149869726519942,0.008403202270532317,0.05218747061781909,30964,0.8647014793265119,0.1769249701688423,0.02013331920434602,0.08470348433906603
5,native,confirmation,0.6484695341724647,0.6748008735962261,0.013034283532758107,0.05266267884752285,30964,0.8462176383292362,0.14603533905379706,0.020716240609366693,0.08859431760805028
5,blend_native,confirmation,0.686339795253037,0.7114199757227629,0.008633510085111176,0.05016036093945183,30964,0.8630105503436858,0.17363048240826154,0.020177096796498192,0.08520946191583413
